Vignette   auto patente ou transporteur   visite;;;;;;;;;;;;;;;;;;;;
Date;Station;Immatriculation;Marque;Expiration;Nserie;Type;Energie;Puissance fis;Date MC;Ncc;Nvignette;CFA visite ;QR;CAT;KMS;mtt vignette;num patente;cfa patente;responsable;observation
12/05/2021;Aboisso;9553JA01;YAMAHA;12/05/2022;LBPKE1351JD059653;KE1351;Essence;1;21/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA02;YAMAHA;12/05/2022;LBPKE1351JD059654;KE1352;Essence;2;22/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA03;YAMAHA;12/05/2022;LBPKE1351JD059655;KE1353;Essence;3;23/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA04;YAMAHA;12/05/2022;LBPKE1351JD059656;KE1354;Essence;4;24/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA05;YAMAHA;12/05/2022;LBPKE1351JD059657;KE1355;Essence;5;25/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA06;YAMAHA;12/05/2022;LBPKE1351JD059658;KE1356;Essence;6;26/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA07;YAMAHA;12/05/2022;LBPKE1351JD059659;KE1357;Essence;7;27/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA08;YAMAHA;12/05/2022;LBPKE1351JD059660;KE1358;Essence;8;28/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA09;YAMAHA;12/05/2022;LBPKE1351JD059661;KE1359;Essence;9;29/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
12/05/2021;Aboisso;9553JA10;YAMAHA;12/05/2022;LBPKE1351JD059662;KE1360;Essence;10;30/03/2018;;ABS20201182243;5000;#NOM?;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
